CrimeDate,Total Incidents
2012-07-13,160.0
2012-07-14,155.0
2012-07-15,130.0
2012-07-16,130.0
2012-07-17,132.0
2012-07-18,136.0
2012-07-19,127.0
2012-07-20,161.0
2012-07-21,145.0
2012-07-22,139.0
2012-07-23,157.0
2012-07-24,129.0
2012-07-25,124.0
2012-07-26,142.0
2012-07-27,153.0
2012-07-28,172.0
2012-07-29,147.0
2012-07-30,144.0
2012-07-31,166.0
2012-08-01,171.0
2012-08-02,149.0
2012-08-03,151.0
2012-08-04,134.0
2012-08-05,182.0
2012-08-06,152.0
2012-08-07,138.0
2012-08-08,155.0
2012-08-09,149.0
2012-08-10,153.0
2012-08-11,151.0
2012-08-12,164.0
2012-08-13,133.0
2012-08-14,129.0
2012-08-15,150.0
2012-08-16,181.0
2012-08-17,158.0
2012-08-18,139.0
2012-08-19,132.0
2012-08-20,140.0
2012-08-21,130.0
2012-08-22,115.0
2012-08-23,144.0
2012-08-24,138.0
2012-08-25,164.0
2012-08-26,104.0
2012-08-27,134.0
2012-08-28,122.0
2012-08-29,152.0
2012-08-30,139.0
2012-08-31,161.0
2012-09-01,168.0
2012-09-02,134.0
2012-09-03,133.0
2012-09-04,152.0
2012-09-05,133.0
2012-09-06,129.0
2012-09-07,119.0
2012-09-08,143.0
2012-09-09,121.0
2012-09-10,124.0
2012-09-11,117.0
2012-09-12,123.0
2012-09-13,128.0
2012-09-14,166.0
2012-09-15,151.0
2012-09-16,115.0
2012-09-17,122.0
2012-09-18,148.0
2012-09-19,150.0
2012-09-20,126.0
2012-09-21,150.0
2012-09-22,167.0
2012-09-23,130.0
2012-09-24,136.0
2012-09-25,164.0
2012-09-26,138.0
2012-09-27,146.0
2012-09-28,181.0
2012-09-29,157.0
2012-09-30,136.0
2012-10-01,143.0
2012-10-02,145.0
2012-10-03,157.0
2012-10-04,134.0
2012-10-05,132.0
2012-10-06,122.0
2012-10-07,135.0
2012-10-08,135.0
2012-10-09,159.0
2012-10-10,159.0
2012-10-11,123.0
2012-10-12,153.0
2012-10-13,114.0
2012-10-14,147.0
2012-10-15,149.0
2012-10-16,134.0
2012-10-17,120.0
2012-10-18,154.0
2012-10-19,135.0
2012-10-20,144.0
2012-10-21,117.0
2012-10-22,128.0
2012-10-23,123.0
2012-10-24,159.0
2012-10-25,136.0
2012-10-26,175.0
2012-10-27,144.0
2012-10-28,135.0
2012-10-29,80.0
2012-10-30,76.0
2012-10-31,157.0
2012-11-01,152.0
2012-11-02,127.0
2012-11-03,123.0
2012-11-04,171.0
2012-11-05,115.0
2012-11-06,112.0
2012-11-07,104.0
2012-11-08,126.0
2012-11-09,166.0
2012-11-10,159.0
2012-11-11,141.0
2012-11-12,146.0
2012-11-13,114.0
2012-11-14,110.0
2012-11-15,109.0
2012-11-16,131.0
2012-11-17,137.0
2012-11-18,112.0
2012-11-19,129.0
2012-11-20,141.0
2012-11-21,148.0
2012-11-22,78.0
2012-11-23,122.0
2012-11-24,106.0
2012-11-25,128.0
2012-11-26,146.0
2012-11-27,125.0
2012-11-28,131.0
2012-11-29,140.0
2012-11-30,154.0
2012-12-01,166.0
2012-12-02,106.0
2012-12-03,146.0
2012-12-04,142.0
2012-12-05,132.0
2012-12-06,120.0
2012-12-07,142.0
2012-12-08,124.0
2012-12-09,120.0
2012-12-10,140.0
2012-12-11,126.0
